date_start,impressions,cpm,ctr,clicks,spend,cpp
2023-10-10,49,125.714286,0,0,6.16,125.714286
2023-10-10,1895,40.485488,0.263852,5,76.72,48.495575
2023-10-10,91883,43.282871,0.300382,276,3976.96,46.846736
2023-10-10,34919,44.05424,0.420974,147,1538.33,48.746118
2023-10-10,1136,4.146127,0,0,4.71,5.147541
2023-10-10,1343,40.424423,0.446761,6,54.29,45.430962
2023-10-10,48675,40.874576,0.373909,182,1989.57,45.300895








2023-10-10,167,93.473054,1.796407,3,15.61,95.182927
2023-10-10,687,154.483261,0.727802,5,106.13,156.997041
2023-10-10,18720,115.739316,0.99359,186,2166.64,127.569477



2023-10-10,3302,60.684434,0.484555,16,200.38,62.599188










2023-10-10,43334,63.497254,0.851525,369,2751.59,66.356139
2023-10-10,3404,107.970035,0.73443,25,367.53,111.136982



2023-10-10,3631,122.11512,0.963922,35,443.4,127.450417
2023-10-10,1812,160.143488,1.600442,29,290.18,172.932062


2023-10-10,3688,354.229935,0.732104,27,1306.4,381.430657
2023-10-10,3194,251.230432,0.7201,23,802.43,275.276158
2023-10-10,286,302.167832,0.699301,2,86.42,302.167832
2023-10-10,231,338.008658,0.4329,1,78.08,340.960699
2023-10-10,278308,171.848923,0.587838,1636,47826.93,196.559798



















